GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0006915	apoptotic process	BP	494	18834	690	57634	3.59491716268118e-98	9.33000834287857e-96
GO:0016477	cell migration	BP	216	18834	227	57634	1.16150435591846e-89	2.82608528599409e-87
GO:0007612	learning	BP	197	18834	201	57634	1.4163621281535e-89	3.06327653605643e-87
GO:0043065	positive regulation of apoptotic process	BP	348	18834	440	57634	1.39532648953681e-89	3.06327653605643e-87
GO:0090200	positive regulation of release of cytochrome c from mitochondria	BP	297	18834	356	57634	1.82389504124159e-87	3.73706494502815e-85
GO:0051028	mRNA transport	BP	437	18834	611	57634	1.0661269337649e-86	2.07521607657338e-84
GO:1905168	positive regulation of double-strand break repair via homologous recombination	BP	308	18834	376	57634	1.20334991264904e-86	2.23078152854414e-84
GO:0001778	plasma membrane repair	BP	207	18834	217	57634	1.38214326208196e-86	2.44576532694777e-84
GO:0007059	chromosome segregation	BP	381	18834	506	57634	1.5598641042857e-86	2.64023954694966e-84
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	BP	288	18834	343	57634	3.27359966237324e-86	5.31005145234127e-84
GO:0019068	virion assembly	BP	224	18834	242	57634	3.800282818319e-86	5.91780040468635e-84
GO:0001844	NA	NA	286	18834	340	57634	5.24331688727942e-86	7.8508587085303e-84
GO:2000786	positive regulation of autophagosome assembly	BP	287	18834	342	57634	8.49370128440053e-86	1.22466589259894e-83
GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	BP	286	18834	341	57634	2.20247558189096e-85	3.06222765725053e-83
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	BP	287	18834	345	57634	5.80788875203042e-84	7.79658996953601e-82
GO:0006412	translation	BP	922	18834	1664	57634	1.97224354138467e-83	2.55931470220351e-81
GO:0005654	nucleoplasm	CC	1195	18834	2313	57634	1.48491378731041e-82	1.86476431419337e-80
GO:0048168	regulation of neuronal synaptic plasticity	BP	235	18834	266	57634	4.39914549407312e-80	5.35183544013333e-78
GO:1900452	regulation of long-term synaptic depression	BP	170	18834	173	57634	4.18160930951122e-78	4.65114429769348e-76
GO:1900271	regulation of long-term synaptic potentiation	BP	170	18834	173	57634	4.18160930951122e-78	4.65114429769348e-76
GO:2000969	positive regulation of AMPA receptor activity	BP	170	18834	173	57634	4.18160930951122e-78	4.65114429769348e-76
GO:0022604	regulation of cell morphogenesis	BP	171	18834	175	57634	4.0939283821533e-77	4.42712866436745e-75
GO:0006914	autophagy	BP	344	18834	462	57634	5.00890694333053e-76	5.27018235956371e-74
GO:0110077	vesicle-mediated intercellular transport	BP	265	18834	322	57634	1.3887886849554e-75	1.42277746066616e-73
GO:0006303	double-strand break repair via nonhomologous end joining	BP	349	18834	477	57634	1.05145265307956e-73	1.04956543036891e-71
GO:0007616	long-term memory	BP	177	18834	186	57634	1.09220412951344e-73	1.06298766904896e-71
GO:0039702	viral budding via host ESCRT complex	BP	234	18834	276	57634	5.5811118120301e-72	5.29933372786175e-70
GO:0016586	RSC-type complex	CC	253	18834	309	57634	2.60622352130512e-71	2.41572099248591e-69
GO:0007492	endoderm development	BP	144	18834	144	57634	7.82735685086141e-71	6.77153338231188e-69
GO:0099149	regulation of postsynaptic neurotransmitter receptor internalization	BP	144	18834	144	57634	7.82735685086141e-71	6.77153338231188e-69
GO:0061001	regulation of dendritic spine morphogenesis	BP	144	18834	144	57634	7.82735685086141e-71	6.77153338231188e-69
GO:0006337	nucleosome disassembly	BP	259	18834	322	57634	7.76573865379498e-70	6.5721783867878e-68
GO:0016514	SWI/SNF complex	CC	255	18834	317	57634	8.59256214993962e-69	7.11720094674786e-67
GO:1905684	regulation of plasma membrane repair	BP	155	18834	160	57634	3.91079559095742e-68	3.04494544711944e-66
GO:0071985	multivesicular body sorting pathway	BP	155	18834	160	57634	3.91079559095742e-68	3.04494544711944e-66
GO:0045921	positive regulation of exocytosis	BP	155	18834	160	57634	3.91079559095742e-68	3.04494544711944e-66
GO:0046676	negative regulation of insulin secretion	BP	156	18834	162	57634	2.39789977324693e-67	1.83039682691182e-65
GO:0050714	positive regulation of protein secretion	BP	155	18834	161	57634	7.10563888028042e-67	5.31966387710224e-65
GO:0032418	lysosome localization	BP	163	18834	173	57634	4.27977886495392e-66	3.14361870212558e-64
GO:0060997	dendritic spine morphogenesis	BP	134	18834	134	57634	5.9235612673088e-66	4.19280436611512e-64
GO:0060291	long-term synaptic potentiation	BP	134	18834	134	57634	5.9235612673088e-66	4.19280436611512e-64
GO:0009952	anterior/posterior pattern specification	BP	145	18834	151	57634	3.65230546524572e-62	2.53900449575028e-60
GO:0042043	neurexin family protein binding	MF	131	18834	136	57634	8.8273886088631e-57	6.02895155338667e-55
GO:0007010	cytoskeleton organization	BP	176	18834	205	57634	3.55401554511993e-56	2.38547974433653e-54
GO:0051260	protein homooligomerization	BP	205	18834	254	57634	5.03165821421462e-56	3.32004159795551e-54
GO:0031032	actomyosin structure organization	BP	147	18834	160	57634	7.41775797693854e-56	4.81288863403696e-54
GO:0006368	transcription elongation by RNA polymerase II	BP	264	18834	363	57634	3.32992675096823e-55	2.1251483346753e-53
GO:0070382	exocytic vesicle	CC	151	18834	168	57634	3.26849447773734e-54	2.05229822610185e-52
GO:0009407	toxin catabolic process	BP	227	18834	302	57634	7.61057264689815e-52	4.70285068482135e-50
GO:0039592	symbiont-mediated arrest of host cell cycle during G2/M transition	BP	156	18834	179	57634	8.01555789858081e-52	4.87571357799611e-50
GO:0030658	transport vesicle membrane	CC	132	18834	143	57634	6.64483197577802e-51	3.97974321256982e-49
GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	MF	825	18834	1639	57634	7.09876264364442e-51	4.12469895100115e-49
GO:0050135	NADP+ nucleosidase activity	MF	825	18834	1639	57634	7.09876264364442e-51	4.12469895100115e-49
GO:0072494	host multivesicular body	CC	121	18834	128	57634	8.01621285687776e-50	4.52277052925002e-48
GO:0044185	host cell late endosome membrane	CC	121	18834	128	57634	8.01621285687776e-50	4.52277052925002e-48
GO:0030141	secretory granule	CC	137	18834	154	57634	4.67712544735275e-48	2.60114990950632e-46
GO:0006887	exocytosis	BP	217	18834	293	57634	8.44334090812521e-48	4.62956706413119e-46
GO:0006897	endocytosis	BP	197	18834	259	57634	1.51467221752796e-46	8.18974853171717e-45
GO:1900246	positive regulation of RIG-I signaling pathway	BP	311	18834	487	57634	2.36873450982497e-45	1.26321691051351e-43
GO:0003723	RNA binding	MF	1291	18834	2872	57634	5.3300979581025e-45	2.80406369606662e-43
GO:0009597	detection of virus	BP	311	18834	489	57634	8.2301079379633e-45	4.27197469366549e-43
GO:0032481	positive regulation of type I interferon production	BP	312	18834	492	57634	1.4392274941687e-44	7.37225346684047e-43
GO:0020002	host cell plasma membrane	CC	239	18834	344	57634	1.88797187905381e-44	9.5452915911123e-43
GO:0071360	cellular response to exogenous dsRNA	BP	311	18834	491	57634	2.81906125932438e-44	1.407000702891e-42
GO:0002218	activation of innate immune response	BP	312	18834	494	57634	4.88090752748287e-44	2.40523708917605e-42
GO:0019031	viral envelope	CC	291	18834	453	57634	2.91693524979316e-43	1.4194536159306e-41
GO:0043197	dendritic spine	CC	103	18834	109	57634	1.51213502938284e-42	7.26758230788567e-41
GO:0048507	meristem development	BP	738	18834	1491	57634	2.69099537286889e-42	1.27756646177788e-40
GO:0005741	mitochondrial outer membrane	CC	266	18834	405	57634	2.93650699087356e-42	1.3773279175266e-40
GO:0030667	secretory granule membrane	CC	89	18834	90	57634	3.1185509940256e-42	1.44529988330258e-40
GO:0030683	NA	NA	232	18834	340	57634	3.76135685775397e-41	1.72270144085132e-39
GO:0014069	postsynaptic density	CC	113	18834	128	57634	3.95808315383342e-39	1.79172299045041e-37
GO:0000785	chromatin	CC	278	18834	448	57634	2.21335819242868e-37	9.90414188864924e-36
GO:0007268	chemical synaptic transmission	BP	138	18834	173	57634	4.07285575200005e-37	1.80177584574275e-35
GO:0030334	regulation of cell migration	BP	123	18834	150	57634	1.60308138741489e-35	7.01213015865862e-34
GO:0010073	meristem maintenance	BP	738	18834	1559	57634	3.19125005372421e-34	1.38039293990537e-32
GO:0039693	viral DNA genome replication	BP	123	18834	154	57634	2.41783016487557e-33	1.03435305844622e-31
GO:0019028	viral capsid	CC	188	18834	277	57634	3.76438262362483e-33	1.59290669062733e-31
GO:1903561	extracellular vesicle	CC	137	18834	181	57634	1.98561318492061e-32	8.31181949343648e-31
GO:0030425	dendrite	CC	119	18834	150	57634	8.71212443794851e-32	3.60811706775889e-30
GO:0006275	regulation of DNA replication	BP	167	18834	247	57634	2.5661824439958e-29	1.0515945531027e-27
GO:0072384	organelle transport along microtubule	BP	104	18834	129	57634	4.66060827075188e-29	1.88997374979553e-27
GO:0019033	viral tegument	CC	121	18834	160	57634	9.37070072549506e-29	3.76083896127343e-27
GO:0098839	postsynaptic density membrane	CC	57	18834	57	57634	1.94190555295603e-28	7.71412073230391e-27
GO:1900182	positive regulation of protein localization to nucleus	BP	109	18834	140	57634	5.98897663530333e-28	2.35505919608443e-26
GO:0051045	negative regulation of membrane protein ectodomain proteolysis	BP	64	18834	67	57634	1.14168924936915e-27	4.35744730175891e-26
GO:0098902	regulation of membrane depolarization during action potential	BP	64	18834	67	57634	1.14168924936915e-27	4.35744730175891e-26
GO:0097421	liver regeneration	BP	64	18834	67	57634	1.14168924936915e-27	4.35744730175891e-26
GO:0006749	glutathione metabolic process	BP	227	18834	379	57634	1.17437975276194e-27	4.43869939563324e-26
GO:1900181	negative regulation of protein localization to nucleus	BP	108	18834	139	57634	1.43369892074257e-27	5.36672105620272e-26
GO:0098845	postsynaptic endosome	CC	55	18834	55	57634	1.82568984690403e-27	6.76896245142608e-26
GO:0040008	regulation of growth	BP	468	18834	948	57634	6.38355839697639e-27	2.34445215466312e-25
GO:0031267	small GTPase binding	MF	139	18834	199	57634	7.4402203442759e-27	2.70698857946412e-25
GO:0034090	maintenance of meiotic sister chromatid cohesion	BP	126	18834	174	57634	7.82014125229312e-27	2.81887128659047e-25
GO:0039723	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of TBK1 activity	BP	98	18834	123	57634	1.04867659999793e-26	3.71136182162904e-25
GO:0039722	symbiont-mediated suppression of host toll-like receptor signaling pathway	BP	98	18834	123	57634	1.04867659999793e-26	3.71136182162904e-25
GO:0045930	negative regulation of mitotic cell cycle	BP	64	18834	68	57634	1.3179898080988e-26	4.54064984329968e-25
GO:2000649	regulation of sodium ion transmembrane transporter activity	BP	64	18834	68	57634	1.3179898080988e-26	4.54064984329968e-25
GO:0039675	exit of virus from host cell nucleus through nuclear pore	BP	64	18834	68	57634	1.3179898080988e-26	4.54064984329968e-25
GO:1900186	negative regulation of clathrin-dependent endocytosis	BP	66	18834	71	57634	1.5195944658325e-26	5.18928180305782e-25
GO:0045121	membrane raft	CC	68	18834	74	57634	1.55860063855259e-26	5.2762019877263e-25
GO:0019898	extrinsic component of membrane	CC	139	18834	200	57634	1.65250349833712e-26	5.54585872329862e-25
GO:0004364	glutathione transferase activity	MF	234	18834	400	57634	2.01828688147839e-26	6.71554771760289e-25
GO:0031966	mitochondrial membrane	CC	216	18834	362	57634	4.39634392275073e-26	1.45042092298887e-24
GO:0071598	neuronal ribonucleoprotein granule	CC	55	18834	56	57634	6.94896321399824e-26	2.27330368000799e-24
GO:0019013	viral nucleocapsid	CC	151	18834	226	57634	8.03978491669715e-26	2.60824022339183e-24
GO:0034089	establishment of meiotic sister chromatid cohesion	BP	117	18834	160	57634	1.21742711664693e-25	3.91689567364173e-24
GO:0016324	apical plasma membrane	CC	118	18834	162	57634	1.34725306285131e-25	4.29906243744275e-24
GO:0051607	defense response to virus	BP	344	18834	659	57634	2.16092815338994e-25	6.83942544808703e-24
GO:1990846	ribonucleoside-diphosphate reductase inhibitor activity	MF	108	18834	144	57634	2.61642114923635e-25	8.21429639836864e-24
GO:0007613	memory	BP	56	18834	58	57634	4.54599064081177e-25	1.41580332517442e-23
GO:0001669	acrosomal vesicle	CC	64	18834	70	57634	9.78656130437299e-25	3.0237367585654e-23
GO:0051485	terpenoid biosynthetic process, mevalonate-dependent	BP	122	18834	173	57634	2.40895995845452e-24	7.32662587364332e-23
GO:1904182	regulation of pyruvate dehydrogenase activity	BP	122	18834	173	57634	2.40895995845452e-24	7.32662587364332e-23
GO:0031777	type 1 melanin-concentrating hormone receptor binding	MF	99	18834	130	57634	3.36065020909977e-24	1.01418691969189e-22
GO:0032443	regulation of ergosterol biosynthetic process	BP	122	18834	174	57634	5.46231603953894e-24	1.63575356476347e-22
GO:0045211	postsynaptic membrane	CC	74	18834	87	57634	6.82613342725295e-24	2.02856010933555e-22
GO:0051650	establishment of vesicle localization	BP	55	18834	58	57634	1.76914726603696e-23	5.2176441717287e-22
GO:0030354	melanin-concentrating hormone activity	MF	99	18834	132	57634	2.5297952523946e-23	7.4048818929114e-22
GO:1904428	negative regulation of tubulin deacetylation	BP	77	18834	93	57634	2.74037238776894e-23	7.961395302675e-22
GO:0044177	host cell Golgi apparatus	CC	129	18834	190	57634	2.99115809352043e-23	8.62561367264818e-22
GO:1905171	positive regulation of protein localization to phagocytic vesicle	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:0033602	negative regulation of dopamine secretion	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:0050765	negative regulation of phagocytosis	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:1905162	regulation of phagosome maturation	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:1903979	negative regulation of microglial cell activation	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:1990927	calcium ion regulated lysosome exocytosis	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:0032715	negative regulation of interleukin-6 production	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:0032720	negative regulation of tumor necrosis factor production	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:0017158	regulation of calcium ion-dependent exocytosis	BP	52	18834	54	57634	3.48149731439174e-23	9.41213128119934e-22
GO:1905117	regulation of ribonucleoside-diphosphate reductase activity	BP	90	18834	116	57634	3.86310457181413e-23	1.03717697228086e-21
GO:0009636	response to toxic substance	BP	229	18834	406	57634	5.75522754912219e-23	1.53459594854333e-21
GO:0003690	double-stranded DNA binding	MF	350	18834	692	57634	1.01067029454412e-22	2.66830783250153e-21
GO:1900243	negative regulation of synaptic vesicle endocytosis	BP	51	18834	53	57634	1.0281175825205e-22	2.66830783250153e-21
GO:1905469	NA	NA	51	18834	53	57634	1.0281175825205e-22	2.66830783250153e-21
GO:1905154	negative regulation of membrane invagination	BP	51	18834	53	57634	1.0281175825205e-22	2.66830783250153e-21
GO:0007005	mitochondrion organization	BP	138	18834	211	57634	2.12484393241613e-22	5.47815723767948e-21
GO:0006469	negative regulation of protein kinase activity	BP	70	18834	85	57634	4.9207061839959e-21	1.26028349830895e-19
GO:0043025	neuronal cell body	CC	68	18834	83	57634	3.14097504464709e-20	7.99203650249092e-19
GO:0001786	phosphatidylserine binding	MF	50	18834	54	57634	3.34903029359748e-20	8.46608761881493e-19
GO:0005544	calcium-dependent phospholipid binding	MF	79	18834	103	57634	6.11975808306279e-20	1.53704633660409e-18
GO:0019083	viral transcription	BP	70	18834	87	57634	6.24144570849845e-20	1.55756077840926e-18
GO:0008270	zinc ion binding	MF	1315	18834	3287	57634	6.3138206977319e-20	1.56558624052677e-18
GO:0003777	microtubule motor activity	MF	221	18834	405	57634	7.9495154021424e-20	1.95870021902154e-18
GO:0051493	regulation of cytoskeleton organization	BP	73	18834	93	57634	1.44818585485991e-19	3.54577832262241e-18
GO:0032196	transposition	BP	546	18834	1218	57634	3.1091771343024e-19	7.56501661489952e-18
GO:0005543	phospholipid binding	MF	105	18834	156	57634	8.84816964292068e-19	2.1394984111733e-17
GO:0098978	glutamatergic synapse	CC	68	18834	86	57634	1.23434674148637e-18	2.96624189173237e-17
GO:2000146	negative regulation of cell motility	BP	44	18834	47	57634	2.10066185350659e-18	5.01710220595164e-17
GO:0010082	regulation of root meristem growth	BP	380	18834	805	57634	5.18191421579086e-18	1.23007268549231e-16
GO:0042826	histone deacetylase binding	MF	76	18834	102	57634	5.80680231923247e-18	1.37005341992558e-16
GO:0000372	Group I intron splicing	BP	127	18834	205	57634	7.90539821453323e-18	1.85395874995047e-16
GO:0044196	host cell nucleolus	CC	50	18834	57	57634	8.82159213557602e-18	2.05643462178428e-16
GO:0005739	mitochondrion	CC	3677	18834	10129	57634	1.00541908549733e-17	2.3298193451435e-16
GO:0045785	positive regulation of cell adhesion	BP	44	18834	49	57634	1.1464215711222e-16	2.64083974933653e-15
GO:0000922	spindle pole	CC	81	18834	115	57634	1.28762670666728e-16	2.94866515826806e-15
GO:0043014	alpha-tubulin binding	MF	74	18834	102	57634	1.9090220195434e-16	4.34609515911254e-15
GO:1903529	negative regulation of dCDP biosynthetic process	BP	57	18834	72	57634	6.86623264542016e-16	1.55408393538492e-14
GO:0006357	regulation of transcription by RNA polymerase II	BP	407	18834	897	57634	1.07266841282889e-15	2.39994145467982e-14
GO:0045202	synapse	CC	96	18834	148	57634	1.06795698536992e-15	2.39994145467982e-14
GO:0043627	response to estrogen	BP	52	18834	64	57634	1.69679297841337e-15	3.77463717997899e-14
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	BP	57	18834	73	57634	2.13080086837015e-15	4.71318623895738e-14
GO:0042127	regulation of cell population proliferation	BP	85	18834	127	57634	2.88537648630809e-15	6.22696540264469e-14
GO:0001891	phagocytic cup	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0048787	presynaptic active zone membrane	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0060076	excitatory synapse	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0099059	NA	NA	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0098685	Schaffer collateral - CA1 synapse	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0032009	early phagosome	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0030285	NA	NA	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0060077	inhibitory synapse	CC	39	18834	43	57634	2.9591281774705e-15	6.22696540264469e-14
GO:0048487	beta-tubulin binding	MF	50	18834	61	57634	2.99461541529239e-15	6.26776226437273e-14
GO:0033147	negative regulation of intracellular estrogen receptor signaling pathway	BP	51	18834	63	57634	4.23539471409624e-15	8.81732172298217e-14
GO:0005938	cell cortex	CC	92	18834	142	57634	4.64517577199069e-15	9.61897302146795e-14
GO:0071277	cellular response to calcium ion	BP	52	18834	65	57634	5.77434887649766e-15	1.18939366011669e-13
GO:0070481	nuclear-transcribed mRNA catabolic process, non-stop decay	BP	128	18834	220	57634	6.63710009170796e-15	1.35990687668522e-13
GO:0031092	platelet alpha granule membrane	CC	43	18834	50	57634	8.55901911672388e-15	1.74451630478566e-13
GO:0043495	protein-membrane adaptor activity	MF	72	18834	103	57634	1.16816312132141e-14	2.36857241213763e-13
GO:0046718	symbiont entry into host cell	BP	99	18834	159	57634	1.95120690871652e-14	3.93577642260798e-13
GO:0051445	regulation of meiotic cell cycle	BP	50	18834	63	57634	3.47590886384472e-14	6.93934010612693e-13
GO:0060271	cilium assembly	BP	50	18834	63	57634	3.47590886384472e-14	6.93934010612693e-13
GO:0030437	ascospore formation	BP	64	18834	89	57634	4.05730668209817e-14	8.05872189459602e-13
GO:0003676	nucleic acid binding	MF	2707	18834	7414	57634	4.09459868144573e-14	8.09150896795341e-13
GO:0070513	death domain binding	MF	38	18834	43	57634	4.83226974373061e-14	9.50102328906226e-13
GO:0031145	anaphase-promoting complex-dependent catabolic process	BP	113	18834	191	57634	5.02805190789518e-14	9.83628446102309e-13
GO:0007283	spermatogenesis	BP	151	18834	279	57634	1.19289216873157e-13	2.31041254371741e-12
GO:0090615	mitochondrial mRNA processing	BP	127	18834	224	57634	1.18900596764353e-13	2.31041254371741e-12
GO:0043195	terminal bouton	CC	40	18834	47	57634	1.55979098007477e-13	2.99126418001531e-12
GO:0055038	recycling endosome membrane	CC	40	18834	47	57634	1.55979098007477e-13	2.99126418001531e-12
GO:0018107	peptidyl-threonine phosphorylation	BP	44	18834	54	57634	2.11483557588353e-13	4.03581122397773e-12
GO:0007346	regulation of mitotic cell cycle	BP	69	18834	101	57634	2.46263659670397e-13	4.67660696144807e-12
GO:0005680	anaphase-promoting complex	CC	115	18834	199	57634	2.86637669383722e-13	5.41689537335355e-12
GO:0008017	microtubule binding	MF	280	18834	597	57634	2.91373569715211e-13	5.47979375314646e-12
GO:0003012	muscle system process	BP	64	18834	92	57634	4.88958066531202e-13	9.13293211087715e-12
GO:0031901	early endosome membrane	CC	73	18834	110	57634	4.90311536391812e-13	9.13293211087715e-12
GO:0019064	fusion of virus membrane with host plasma membrane	BP	65	18834	94	57634	5.01018554899458e-13	9.287929686779e-12
GO:0008021	synaptic vesicle	CC	40	18834	48	57634	6.3851316279482e-13	1.17251497300011e-11
GO:0039526	NA	NA	40	18834	48	57634	6.3851316279482e-13	1.17251497300011e-11
GO:0008009	chemokine activity	MF	49	18834	64	57634	7.55218416650562e-13	1.3803123455496e-11
GO:1904666	regulation of ubiquitin protein ligase activity	BP	41	18834	50	57634	9.41553609625925e-13	1.71283560853912e-11
GO:0019210	kinase inhibitor activity	MF	35	18834	40	57634	9.5508554361898e-13	1.72937117270171e-11
GO:0051131	chaperone-mediated protein complex assembly	BP	129	18834	234	57634	1.22063385723398e-12	2.19996648435736e-11
GO:0044297	cell body	CC	39	18834	47	57634	1.6344408798063e-12	2.93220200234374e-11
GO:0019073	viral DNA genome packaging	BP	75	18834	116	57634	1.74637359180899e-12	3.11863871234513e-11
GO:0060326	cell chemotaxis	BP	43	18834	54	57634	1.77238175025395e-12	3.15063112042861e-11
GO:0039554	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of MDA-5 activity	BP	35	18834	41	57634	4.45923736593546e-12	7.89082321163034e-11
GO:0016191	synaptic vesicle uncoating	BP	23	18834	23	57634	6.67018565750043e-12	1.17497885812892e-10
GO:0044423	virion component	CC	33	18834	38	57634	6.86576478375568e-12	1.20398298662887e-10
GO:0030276	clathrin binding	MF	52	18834	72	57634	7.44354809057993e-12	1.29944989760662e-10
GO:0005815	microtubule organizing center	CC	51	18834	71	57634	1.65437445372192e-11	2.87521417336581e-10
GO:0042595	behavioral response to starvation	BP	64	18834	97	57634	1.93267410927009e-11	3.34395569217264e-10
GO:0005874	microtubule	CC	299	18834	666	57634	2.7241842942639e-11	4.69258825556166e-10
GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	BP	24	18834	25	57634	3.73817274376235e-11	6.41088391694574e-10
GO:0055037	recycling endosome	CC	42	18834	55	57634	3.84438013075044e-11	6.56411046009275e-10
GO:0051983	regulation of chromosome segregation	BP	44	18834	59	57634	5.19838407886417e-11	8.83725293406909e-10
GO:0051310	metaphase chromosome alignment	BP	39	18834	50	57634	6.17758847089064e-11	1.04562399639901e-09
GO:0019076	viral release from host cell	BP	77	18834	127	57634	9.49719931050458e-11	1.60054532103006e-09
GO:0042802	identical protein binding	MF	348	18834	803	57634	1.40871457272206e-10	2.3638473412099e-09
GO:0043204	perikaryon	CC	45	18834	62	57634	1.45712709500997e-10	2.43459046389434e-09
GO:0005694	chromosome	CC	395	18834	929	57634	1.66792679845687e-10	2.77488847281734e-09
GO:0019953	sexual reproduction	BP	39	18834	51	57634	1.79296628743459e-10	2.97022032212037e-09
GO:0055036	virion membrane	CC	103	18834	187	57634	2.273954186567e-10	3.75106086792598e-09
GO:0000793	condensed chromosome	CC	151	18834	302	57634	3.24677542001347e-10	5.33320536291664e-09
GO:0042314	bacteriochlorophyll binding	MF	30	18834	36	57634	5.28257336214006e-10	8.64078071378625e-09
GO:0017015	regulation of transforming growth factor beta receptor signaling pathway	BP	25	18834	28	57634	7.52957193758834e-10	1.22135931470964e-08
GO:0045664	regulation of neuron differentiation	BP	25	18834	28	57634	7.52957193758834e-10	1.22135931470964e-08
GO:0031369	translation initiation factor binding	MF	47	18834	68	57634	8.44071310057326e-10	1.36347286724198e-08
GO:0031103	axon regeneration	BP	32	18834	40	57634	1.03495110588491e-09	1.66490275008675e-08
GO:0000775	chromosome, centromeric region	CC	116	18834	222	57634	1.29711165684904e-09	2.0780476049849e-08
GO:0031005	filamin binding	MF	51	18834	77	57634	1.70667408535288e-09	2.72298451404867e-08
GO:0007601	visual perception	BP	18	18834	18	57634	1.79627311850792e-09	2.85424132667401e-08
GO:0030424	axon	CC	47	18834	69	57634	1.80576581618151e-09	2.85766110666448e-08
GO:0000282	cellular bud site selection	BP	31	18834	39	57634	2.5462316076617e-09	4.01314965531457e-08
GO:0019054	modulation by virus of host cellular process	BP	20	18834	21	57634	2.7718019686809e-09	4.35105849357852e-08
GO:0005871	kinesin complex	CC	130	18834	258	57634	2.84508291293794e-09	4.44815573496683e-08
GO:0043066	negative regulation of apoptotic process	BP	53	18834	82	57634	3.0823504766223e-09	4.79983616219624e-08
GO:0044204	host cell nuclear matrix	CC	28	18834	34	57634	3.44538713973464e-09	5.32257624404245e-08
GO:0097190	apoptotic signaling pathway	BP	28	18834	34	57634	3.44538713973464e-09	5.32257624404245e-08
GO:0016032	viral process	BP	72	18834	124	57634	5.48068718095226e-09	8.43332616420836e-08
GO:0048026	positive regulation of mRNA splicing, via spliceosome	BP	38	18834	53	57634	6.93202823137256e-09	1.06245613798163e-07
GO:0048705	skeletal system morphogenesis	BP	39	18834	55	57634	7.32014683119823e-09	1.1175424162296e-07
GO:1900424	regulation of defense response to bacterium	BP	52	18834	82	57634	1.14496856722161e-08	1.74115727820067e-07
GO:0034414	NA	NA	22	18834	25	57634	1.52962393176145e-08	2.31705290519352e-07
GO:0051402	neuron apoptotic process	BP	30	18834	39	57634	1.84902873374998e-08	2.79002669011189e-07
GO:0006260	DNA replication	BP	141	18834	292	57634	2.14224230855471e-08	3.2199804274917e-07
GO:0006351	DNA-templated transcription	BP	136	18834	280	57634	2.40051641425706e-08	3.59431169257798e-07
GO:0010507	negative regulation of autophagy	BP	28	18834	36	57634	3.64790655755052e-08	5.44111119867592e-07
GO:0043621	NA	NA	194	18834	429	57634	3.83867764208132e-08	5.70380613000862e-07
GO:0005179	hormone activity	MF	90	18834	170	57634	3.85618955938694e-08	5.70804028695564e-07
GO:0019050	NA	NA	24	18834	29	57634	3.95854699761356e-08	5.83735737185969e-07
GO:0034198	cellular response to amino acid starvation	BP	29	18834	38	57634	4.37898543845678e-08	6.4329774761933e-07
GO:0039660	structural constituent of virion	MF	113	18834	226	57634	5.04337236332851e-08	7.38114609414959e-07
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	MF	25	18834	31	57634	5.48555672449693e-08	7.99822933650432e-07
GO:0043248	proteasome assembly	BP	188	18834	416	57634	6.51836194910732e-08	9.46865039846075e-07
GO:0007019	microtubule depolymerization	BP	40	18834	60	57634	7.30372478715234e-08	1.05700373964253e-06
GO:0061182	negative regulation of chondrocyte development	BP	36	18834	52	57634	7.46811448498455e-08	1.06887388566341e-06
GO:1900158	negative regulation of bone mineralization involved in bone maturation	BP	36	18834	52	57634	7.46811448498455e-08	1.06887388566341e-06
GO:0061572	actin filament bundle organization	BP	36	18834	52	57634	7.46811448498455e-08	1.06887388566341e-06
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	CC	48	18834	77	57634	9.06350170321538e-08	1.2924619828065e-06
