GO_ID	GO_name	Ontology	study_count	study_total	pop_count	pop_total	p_value	p_adjusted
GO:0016290	NA	NA	17	18834	23	57634	6.13222811744606e-05	0.000691964175687464
GO:0007338	single fertilization	BP	42	18834	77	57634	6.1610137671598e-05	0.000693203080796332
GO:0005637	nuclear inner membrane	CC	30	18834	50	57634	6.57506772610639e-05	0.000727295864946695
GO:0044162	host cell cytoplasmic vesicle membrane	CC	12	18834	14	57634	6.5761146791995e-05	0.000727295864946695
GO:0038084	vascular endothelial growth factor signaling pathway	BP	12	18834	14	57634	6.5761146791995e-05	0.000727295864946695
GO:0086100	endothelin receptor signaling pathway	BP	12	18834	14	57634	6.5761146791995e-05	0.000727295864946695
GO:0032310	prostaglandin secretion	BP	12	18834	14	57634	6.5761146791995e-05	0.000727295864946695
GO:0032757	positive regulation of interleukin-8 production	BP	12	18834	14	57634	6.5761146791995e-05	0.000727295864946695
GO:0019835	cytolysis	BP	20	18834	29	57634	6.83458450142014e-05	0.000751611227797419
GO:0016560	protein import into peroxisome matrix, docking	BP	20	18834	29	57634	6.83458450142014e-05	0.000751611227797419
GO:0032056	positive regulation of translation in response to stress	BP	13	18834	16	57634	9.17939821200441e-05	0.00100099151930905
GO:0046858	chlorosome	CC	13	18834	16	57634	9.17939821200441e-05	0.00100099151930905
GO:0033105	chlorosome envelope	CC	13	18834	16	57634	9.17939821200441e-05	0.00100099151930905
GO:0019841	retinol binding	MF	10	18834	11	57634	0.000107227082209368	0.00116601963977952
GO:0031424	keratinization	BP	14	18834	18	57634	0.000113398625286084	0.00122288323611835
GO:0010918	positive regulation of mitochondrial membrane potential	BP	14	18834	18	57634	0.000113398625286084	0.00122288323611835
GO:0034451	centriolar satellite	CC	14	18834	18	57634	0.000113398625286084	0.00122288323611835
GO:0005929	cilium	CC	33	18834	58	57634	0.000124986952193296	0.00134412763781354
GO:0050699	WW domain binding	MF	15	18834	20	57634	0.000129533583754258	0.00137814219898708
GO:0047173	phosphatidylcholine-retinol O-acyltransferase activity	MF	8	18834	8	57634	0.000129919904194261	0.00137814219898708
GO:0001972	retinoic acid binding	MF	8	18834	8	57634	0.000129919904194261	0.00137814219898708
GO:0102279	NA	NA	8	18834	8	57634	0.000129919904194261	0.00137814219898708
GO:0044164	host cell cytosol	CC	8	18834	8	57634	0.000129919904194261	0.00137814219898708
GO:0051259	protein complex oligomerization	BP	42	18834	79	57634	0.000133893221226952	0.00141643019086012
GO:0019079	viral genome replication	BP	16	18834	22	57634	0.000140210089894385	0.00147923544704293
GO:0005628	prospore membrane	CC	17	18834	24	57634	0.000145988027158747	0.00153603078305135
GO:0000405	bubble DNA binding	MF	18	18834	26	57634	0.00014765636885818	0.00154939688400241
GO:1900016	negative regulation of cytokine production involved in inflammatory response	BP	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:0010764	negative regulation of fibroblast migration	BP	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:0061041	regulation of wound healing	BP	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:0010466	negative regulation of peptidase activity	BP	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:2000480	negative regulation of cAMP-dependent protein kinase activity	BP	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:0033017	sarcoplasmic reticulum membrane	CC	11	18834	13	57634	0.000173615839307541	0.00179280228759749
GO:0043229	intracellular organelle	CC	25	18834	41	57634	0.000184225429689992	0.00189732697826228
GO:0090630	activation of GTPase activity	BP	24	18834	39	57634	0.000202213467665836	0.00207708978792375
GO:0045087	innate immune response	BP	363	18834	953	57634	0.000218809882593717	0.00224164966562458
GO:0004523	RNA-DNA hybrid ribonuclease activity	MF	2009	18834	5781	57634	0.000221277086032766	0.00226097557985711
GO:1905785	negative regulation of anaphase-promoting complex-dependent catabolic process	BP	12	18834	15	57634	0.000230183710028612	0.00232754593023737
GO:0032872	regulation of stress-activated MAPK cascade	BP	12	18834	15	57634	0.000230183710028612	0.00232754593023737
GO:1903202	NA	NA	12	18834	15	57634	0.000230183710028612	0.00232754593023737
GO:0032755	positive regulation of interleukin-6 production	BP	12	18834	15	57634	0.000230183710028612	0.00232754593023737
GO:0043086	negative regulation of catalytic activity	BP	241	18834	611	57634	0.000240005680181134	0.00242057542213771
GO:0008255	ecdysis-triggering hormone activity	MF	13	18834	17	57634	0.000272624379474694	0.00273537811673965
GO:0033138	positive regulation of peptidyl-serine phosphorylation	BP	13	18834	17	57634	0.000272624379474694	0.00273537811673965
GO:0000729	DNA double-strand break processing	BP	44	18834	86	57634	0.000293935347480919	0.00294162032838874
GO:0032399	HECT domain binding	MF	16	18834	23	57634	0.00032052508125421	0.00319949779826318
GO:0006310	DNA recombination	BP	537	18834	1456	57634	0.000331424132092515	0.00329983157605157
GO:0015074	DNA integration	BP	443	18834	1187	57634	0.000361210104316212	0.003587221775773
GO:0042641	actomyosin	CC	7	18834	7	57634	0.000397667940670458	0.00389954985649898
GO:0045162	clustering of voltage-gated sodium channels	BP	7	18834	7	57634	0.000397667940670458	0.00389954985649898
GO:0071539	protein localization to centrosome	BP	7	18834	7	57634	0.000397667940670458	0.00389954985649898
GO:0051660	establishment of centrosome localization	BP	7	18834	7	57634	0.000397667940670458	0.00389954985649898
GO:0044192	host cell mitochondrial inner membrane	CC	7	18834	7	57634	0.000397667940670458	0.00389954985649898
GO:0039724	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of IKBKE activity	BP	27	18834	47	57634	0.000408923616392087	0.00399984833822713
GO:0005814	centriole	CC	22	18834	36	57634	0.000426951121558232	0.00416571608076741
GO:2000036	regulation of stem cell population maintenance	BP	10	18834	12	57634	0.000452971357679427	0.00439754986395513
GO:0044161	host cell cytoplasmic vesicle	CC	10	18834	12	57634	0.000452971357679427	0.00439754986395513
GO:1990822	basic amino acid transmembrane transport	BP	20	18834	32	57634	0.000512249895169393	0.00496066876093146
GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization	BP	25	18834	43	57634	0.000518456945435995	0.00500831982278494
GO:0032148	activation of protein kinase B activity	BP	11	18834	14	57634	0.000569083045197874	0.00548376310632505
GO:0005765	lysosomal membrane	CC	58	18834	123	57634	0.000582958233041106	0.00560359605241734
GO:0007399	nervous system development	BP	41	18834	81	57634	0.000617959727552783	0.00592541187035218
GO:0009566	fertilization	BP	27	18834	48	57634	0.000645022152087801	0.00614268659018474
GO:1900015	regulation of cytokine production involved in inflammatory response	BP	12	18834	16	57634	0.000645352893754318	0.00614268659018474
GO:1904355	positive regulation of telomere capping	BP	12	18834	16	57634	0.000645352893754318	0.00614268659018474
GO:0016604	nuclear body	CC	45	18834	91	57634	0.000660941941547179	0.00627572433766627
GO:0004623	phospholipase A2 activity	MF	16	18834	24	57634	0.000669599189445136	0.0063270622439561
GO:0075521	microtubule-dependent intracellular transport of viral material towards nucleus	BP	16	18834	24	57634	0.000669599189445136	0.0063270622439561
GO:0071356	cellular response to tumor necrosis factor	BP	13	18834	18	57634	0.000686611340365085	0.00644091071817175
GO:0075713	establishment of integrated proviral latency	BP	13	18834	18	57634	0.000686611340365085	0.00644091071817175
GO:0044826	viral genome integration into host DNA	BP	13	18834	18	57634	0.000686611340365085	0.00644091071817175
GO:0044774	mitotic DNA integrity checkpoint signaling	BP	42	18834	84	57634	0.000738477960637216	0.00687773851856622
GO:0097676	NA	NA	42	18834	84	57634	0.000738477960637216	0.00687773851856622
GO:2000373	positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity	BP	42	18834	84	57634	0.000738477960637216	0.00687773851856622
GO:0005199	structural constituent of cell wall	MF	32	18834	60	57634	0.000753270630681682	0.00698210134581854
GO:0004867	serine-type endopeptidase inhibitor activity	MF	32	18834	60	57634	0.000753270630681682	0.00698210134581854
GO:0008083	growth factor activity	MF	25	18834	44	57634	0.000829731052688262	0.00761826176442312
GO:0071284	cellular response to lead ion	BP	8	18834	9	57634	0.00082972794677745	0.00761826176442312
GO:0004862	cAMP-dependent protein kinase inhibitor activity	MF	8	18834	9	57634	0.00082972794677745	0.00761826176442312
GO:0042415	norepinephrine metabolic process	BP	8	18834	9	57634	0.00082972794677745	0.00761826176442312
GO:0005856	cytoskeleton	CC	259	18834	674	57634	0.00089730486602572	0.00821931257279559
GO:0007420	brain development	BP	24	18834	42	57634	0.000939565404697569	0.00858621624527614
GO:0006906	vesicle fusion	BP	63	18834	138	57634	0.00100017579365432	0.00909595658407108
GO:2001251	negative regulation of chromosome organization	BP	42	18834	85	57634	0.00100235432174839	0.00909595658407108
GO:2001034	positive regulation of double-strand break repair via nonhomologous end joining	BP	42	18834	85	57634	0.00100235432174839	0.00909595658407108
GO:0120160	intraciliary transport particle A binding	MF	18	18834	29	57634	0.00109607904081862	0.00992333885094624
GO:0093002	response to nematicide	BP	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	MF	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:0030474	spindle pole body duplication	BP	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:1900244	positive regulation of synaptic vesicle endocytosis	BP	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:0098815	modulation of excitatory postsynaptic potential	BP	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:0038166	angiotensin-activated signaling pathway	BP	6	18834	6	57634	0.00121716635250463	0.0108679555282122
GO:0030435	sporulation resulting in formation of a cellular spore	BP	31	18834	59	57634	0.00125393109885861	0.0111706035877725
GO:0007286	spermatid development	BP	25	18834	45	57634	0.0012908761566537	0.011447336851601
GO:0045842	positive regulation of mitotic metaphase/anaphase transition	BP	38	18834	76	57634	0.0012902844225613	0.011447336851601
GO:0000737	NA	NA	42	18834	86	57634	0.0013456585142408	0.011906019536226
GO:0042144	vacuole fusion, non-autophagic	BP	10	18834	13	57634	0.00138415641891904	0.0122076129918257
GO:0030317	flagellated sperm motility	BP	15	18834	23	57634	0.00138915298108882	0.0122076129918257
GO:0009836	fruit ripening, climacteric	BP	15	18834	23	57634	0.00138915298108882	0.0122076129918257
GO:0001172	RNA-templated transcription	BP	30	18834	57	57634	0.00144071587294214	0.0126322227328013
GO:0042594	response to starvation	BP	24	18834	43	57634	0.00147149187955431	0.0127868702837163
GO:1903507	NA	NA	14	18834	21	57634	0.00146802316304138	0.0127868702837163
GO:0019902	phosphatase binding	MF	24	18834	43	57634	0.00147149187955431	0.0127868702837163
GO:0004517	nitric-oxide synthase activity	MF	14	18834	21	57634	0.00146802316304138	0.0127868702837163
GO:0010760	negative regulation of macrophage chemotaxis	BP	11	18834	15	57634	0.00150105621691335	0.0129858041165415
GO:0032793	positive regulation of CREB transcription factor activity	BP	11	18834	15	57634	0.00150105621691335	0.0129858041165415
GO:0051428	peptide hormone receptor binding	MF	20	18834	34	57634	0.00152062320393361	0.0130872681489257
GO:0070121	Kupffer's vesicle development	BP	13	18834	19	57634	0.00152286988735252	0.0130872681489257
GO:0039646	symbiont-mediated perturbation of host cell cycle G0/G1 transition checkpoint	BP	13	18834	19	57634	0.00152286988735252	0.0130872681489257
GO:0040027	negative regulation of vulval development	BP	12	18834	17	57634	0.00153990132802541	0.0131754634505559
GO:0071249	cellular response to nitrate	BP	12	18834	17	57634	0.00153990132802541	0.0131754634505559
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	BP	19	18834	32	57634	0.00170546375389784	0.0145600227936936
GO:0010951	negative regulation of endopeptidase activity	BP	38	18834	77	57634	0.0017522755380674	0.0149269336317207
GO:0031297	replication fork processing	BP	46	18834	97	57634	0.00176827298465747	0.0150303203695885
GO:0030332	cyclin binding	MF	22	18834	39	57634	0.00190810438404121	0.0161835519979791
GO:0004857	enzyme inhibitor activity	MF	43	18834	90	57634	0.00204724752565585	0.0173259448203874
GO:0005634	nucleus	CC	5783	18834	17246	57634	0.00223599933722686	0.0188823111059093
GO:0000303	response to superoxide	BP	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:1901536	NA	NA	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:0044726	epigenetic programing of female pronucleus	BP	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:0099078	BORC complex	CC	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:0048167	regulation of synaptic plasticity	BP	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:1904824	anaphase-promoting complex assembly	BP	7	18834	8	57634	0.00227190419600383	0.0189390214883146
GO:1903427	negative regulation of reactive oxygen species biosynthetic process	BP	15	18834	24	57634	0.00258840930049495	0.021485452893021
GO:0019082	viral protein processing	BP	15	18834	24	57634	0.00258840930049495	0.021485452893021
GO:0050728	negative regulation of inflammatory response	BP	14	18834	22	57634	0.00282567564974788	0.0234050112861032
GO:0050890	cognition	BP	8	18834	10	57634	0.00295004612636675	0.0242801893656358
GO:0035721	intraciliary retrograde transport	BP	8	18834	10	57634	0.00295004612636675	0.0242801893656358
GO:0015692	lead ion transport	BP	8	18834	10	57634	0.00295004612636675	0.0242801893656358
GO:0032880	regulation of protein localization	BP	13	18834	20	57634	0.00305122799688445	0.0250072222986762
GO:0032212	positive regulation of telomere maintenance via telomerase	BP	13	18834	20	57634	0.00305122799688445	0.0250072222986762
GO:0006306	NA	NA	27	18834	52	57634	0.0031468591128225	0.0257368120298698
GO:0050767	regulation of neurogenesis	BP	12	18834	18	57634	0.00324648130334605	0.0264404847571677
GO:0039619	T=4 icosahedral viral capsid	CC	12	18834	18	57634	0.00324648130334605	0.0264404847571677
GO:0001784	phosphotyrosine residue binding	MF	9	18834	12	57634	0.00330326328855587	0.0266796763119253
GO:0030282	bone mineralization	BP	9	18834	12	57634	0.00330326328855587	0.0266796763119253
GO:0051701	biological process involved in interaction with host	BP	9	18834	12	57634	0.00330326328855587	0.0266796763119253
GO:0044782	cilium organization	BP	9	18834	12	57634	0.00330326328855587	0.0266796763119253
