GO_term	taxon	taxon_id	lineage
GO:0000390	cellular organisms	131567.0	root | cellular organisms
GO:0071025	cellular organisms	131567.0	root | cellular organisms
GO:0009617	cellular organisms	131567.0	root | cellular organisms
GO:0009113	root	1.0	root
GO:0015854	cellular organisms	131567.0	root | cellular organisms
GO:0102841	Unknown		
GO:0071006	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0043651	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0016407	root	1.0	root
GO:0000053	Unknown		
GO:0005703	Diptera	7147.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Mandibulata | Pancrustacea | Altocrustacea | Allotriocarida | Hexapoda | Insecta | Dicondylia | Pterygota | Neoptera | Eumetabola | Endopterygota | Aparaglossata | Panorpida | Diptera
GO:0018149	Eumetazoa	6072.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa
GO:0010364	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0102406	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0043186	cellular organisms	131567.0	root | cellular organisms
GO:0048576	Mesangiospermae	1437183.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae
GO:0009884	Pentapetalae	1437201.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliopsida | Mesangiospermae | eudicotyledons | Gunneridae | Pentapetalae
GO:0031588	cellular organisms	131567.0	root | cellular organisms
GO:0006412	cellular organisms	131567.0	root | cellular organisms
GO:0016607	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0060211	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0004035	root	1.0	root
GO:0007202	Unknown		
GO:1904090	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
GO:0000153	Amniota	32524.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi | Sarcopterygii | Dipnotetrapodomorpha | Tetrapoda | Amniota
